parametro_id;valor;descripcion;cifrado;grupo_parametro_id
26;"<!doctype html>
  <html>
  <head>
  <style>
  td.subrayada {
  padding-bottom:1em;
  border-bottom: #00beff solid 2px;
  }
  td.enblanco {
  min-width: 0.8em
  }
  .contenido {
  width:100%; 
  margin:auto;
  max-width: 500px;
  text-align: center;
  }
  @media only screen and (max-device-width: 600px) and (orientation: portrait ), screen and (max-width: 600px) and (orientation: portrait ) {
  .contenido {
   width:100%; 
   margin:auto;
   max-width: unset;
   text-align: center;
  }
  }
  </style>
  <link rel='preconnect' href='https://fonts.googleapis.com'>
  <link rel='preconnect' href='https://fonts.gstatic.com' crossorigin>
  <link href='https://fonts.googleapis.com/css2?family=Maven+Pro:wght@700&display=swap' rel='stylesheet'></head>
  <body style='font-family:Maven Pro, sans-serif;'>
  <div class='contenido' >
  <div style='width=100%'>
  <img alt='head' width='100%' src='<--BASE-IMG-->/header-mail-registro.png'/>
  </div>
  <div style='font-weight:400;font-size: 14px;color:#002a87;background-color:#f4f4f4;text-align: center;padding-top: 1em'>
  <table style='width: 100%'>
  <tr >
  <td class='enblanco' ></td>
  <td class='subrayada'>
  Inicio
  </td>
  <td class='enblanco' ></td>
  <td class='subrayada'>
  Ya lleg&oacute; mi giro
  </td>
  <td class='enblanco' ></td>
  <td class='subrayada'>
  Rastreo de giros
  </td>
  <td class='enblanco' ></td>
  <td class='subrayada'>
  App M&oacute;vil
  </td>
  <td class='enblanco' ></td>
  <td class='subrayada'>
  Convenios
  </td>
  <td class='enblanco' ></td>
  </tr>
  </table>
  </div>
  <div style='margin-top:40px'>
  <p style='color:#002a85;text-align:center;font-size:28px'>¡Confirma tu identidad!
  </p>
  </div>
  <div style='text-align:center; width: 60%;max-width:300px;margin:auto;padding: 20px 0 20px;font-weight: 400;font-size: 17px;color: #002a87' >
   Para completar tu registro vuelve a la p&aacute;gina de rastreo de giros y digita el siguiente c&oacute;digo
  </div>
  <div style='text-align:center; vertical-align:middle;width: 100%;height:7em;margin:auto;background-color:#5ce6ff;'>
   <p style='font-family:Maven Pro, sans-serif;font-weight:700;font-size:50px;color:#002a87;padding-top: 0.5em'><--CODIGO--></p>
  </div>
  <div style='text-align:center; width: 100%;height:4em;margin:auto;padding: 2em 0 2em'>
   <img width='15%' src='<--BASE-IMG-->/security-icon.png'  style='max-width: 100px' />
  </div>
  <div style='text-align:center; width: 100%;height:2em;margin:auto;padding: 1em 0 1em;font-weight: 400;font-size: 17;color: #002a87'>
  <span >Este es un procedimiento 100% seguro</span>
  </div>
  <div style='background-color:#e6e6e7;color:gray;width: 100%;height:2em;margin:auto;padding: 1em 0 1em;font-size: 10px'>
   <div style='width:33%;text-align: center;display:inline-block'>
   L&iacute;nea nacional gratuita:<br/>
   01 8000 413 767
   </div>
   <div style='width:33%;text-align: center;display:inline-block;vertical-align: super;border-left: gray solid 1px;border-right: gray solid 1px'>
   www.supergiros.com.co
   </div>
   <div style='width: 5%;display:inline-block;'></div>
   <div style='text-align: center;display:inline-block;margin: auto;width: 20%;text-align-last: justify'>
    <img src='<--BASE-IMG-->/fb-icon.png' style='max-width:20px'>
    <img src='<--BASE-IMG-->/ig-icon.png' style='max-width:20px'>
    <img src='<--BASE-IMG-->/tw-icon.png' style='max-width:20px'>
   </div>
  </div>
  
  <div style='background-color: #f4f4f5;text-align: center'>
  <img src='<--BASE-IMG-->/sg-logo.png' style='width:25%;max-width:400px;padding: 15px'>
  </div>
  
  
  </div>
  </body>
  </html>";Mensaje email pre-registro                                  ;false;6
27;AUT_INFO_2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Codigo SMS pre-registro;false;6
28;SUPERGIROS: Registro exitoso;Asunto mensaje registro exitoso                         ;false;6
29;"<!doctype html>
  <html>
  <head>
  <style>
  td.subrayada {
  padding-bottom:1em;
  border-bottom: #00beff solid 2px;
  }
  td.enblanco {
  min-width: 0.8em
  }
  .contenido {
  width:100%; 
  margin:auto;
  max-width: 500px;
  text-align: center;
  }
  @media only screen and (max-device-width: 600px) and (orientation: portrait ), screen and (max-width: 600px) and (orientation: portrait ) {
  .contenido {
   width:100%; 
   margin:auto;
   max-width: unset;
   text-align: center;
  }
  }
  </style>
  <link rel=""preconnect"" href=""https://fonts.googleapis.com"">
  <link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin>
  <link href=""https://fonts.googleapis.com/css2?family=Maven+Pro:wght@700&display=swap"" rel=""stylesheet""></head>
  <body style=""font-family:Maven Pro, sans-serif;"">
  <div class=""contenido"" >
  <div style=""width:30%;max-width:300px;float: right"">
    <img src=""<--BASE-IMG-->/vigilado.png"" style=""width:100%"" />
  </div>
  <div style=""width:100%;float: left;"">
   <img alt=""head"" width=""60%"" src=""<--BASE-IMG-->/sg-logo.png"" style=""padding: 2em""/>
  </div>
  <div style=""font-weight:400;font-size: 14px;color:#002a87;background-color:#f4f4f4;text-align: center;padding-top: 1em"">
  <table style=""width: 100%"">
  <tr >
  <td class=""enblanco"" ></td>
  <td class=""subrayada"">
  Inicio
  </td>
  <td class=""enblanco"" ></td>
  <td class=""subrayada"">
  Ya lleg&oacute; mi giro
  </td>
  <td class=""enblanco"" ></td>
  <td class=""subrayada"">
  Rastreo de giros
  </td>
  <td class=""enblanco"" ></td>
  <td class=""subrayada"">
  App M&oacute;vil
  </td>
  <td class=""enblanco"" ></td>
  <td class=""subrayada"">
  Convenios
  </td>
  <td class=""enblanco"" ></td>
  </tr>
  </table>
  </div>
  
  <div>
  <div style=""width:40%;text-align: center;display:inline-block"">
  <img src=""<--BASE-IMG-->/happy-man-jumping.png"" style=""width: 100%"" />
  </div>
  <div style=""width:55%;text-align: center;display:inline-block;vertical-align: top"">
   <div style=""width: 100%;text-align: center;padding-top: 2em"">
   <img src=""<--BASE-IMG-->/check-icon.png""  style=""width: 20%;"" />
   </div>
   <div style=""width: 100%;text-align: center;padding-top: 0.5em;font-size:28px;font-weight:900;color: #002a87"">
   
¡Registro Exitoso!
   </div>
   <div style=""width: 100%;text-align: -webkit-center"">
    <div style=""width: 15%;border-bottom: #00beff solid 4px;padding-top: 0.5em""></div>
   </div>
   <div style=""width: 100%;text-align: center;font-size:17px;font-weight:400;color: #002a87;padding-top: 2em"">
   Recuerda que tu usuario es el n&uacute;mero de documento sin puntos ni comas
   y la contrase&ntilde;a es la que creaste hace un momento.
   </div>
  </div>
  </div>
  <div style=""background-color:#e6e6e7;color:gray;width: 100%;height:2em;margin:auto;padding: 1em 0 1em;font-size: 10px"">
   <div style=""width:33%;text-align: center;display:inline-block"">
   L&iacute;nea nacional gratuita:<br/>
   01 8000 413 767
   </div>
   <div style=""width:33%;text-align: center;display:inline-block;vertical-align: super;border-left: gray solid 1px;border-right: gray solid 1px"">
   www.supergiros.com.co
   </div>
   <div style=""width: 5%;display:inline-block;""></div>
   <div style=""text-align: center;display:inline-block;margin: auto;width: 20%;text-align-last: justify"">
    <img src=""<--BASE-IMG-->/fb-icon.png"" style=""max-width:20px"">
    <img src=""<--BASE-IMG-->/ig-icon.png"" style=""max-width:20px"">
    <img src=""<--BASE-IMG-->/tw-icon.png"" style=""max-width:20px"">
   </div>
  </div>
  
  <div style=""background-color: #f4f4f5;text-align: center"">
  <img src=""<--BASE-IMG-->/sg-logo.png"" style=""width:25%;max-width:400px;padding: 15px"">
  </div>
  
  
  </div>
  </body>
  </html>";mensaje email registro exitoso                          ;false;6
30;AUT_INFO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;Tipo Mensaje SMS registro exitoso                       ;false;6
31;SUPERGIROS: Recuperacion de contraseña;Asunto mensaje recuperacion de contraseña               ;false;6
32;"<!doctype html>
  <html>
  <head>
  <style>
  td.subrayada {
  padding-bottom:1em;
  border-bottom: #00beff solid 2px;
  }
  td.enblanco {
  min-width: 0.8em
  }
  .contenido {
  width:100%; 
  margin:auto;
  max-width: 500px;
  text-align: center;
  }
  @media only screen and (max-device-width: 600px) and (orientation: portrait ), screen and (max-width: 600px) and (orientation: portrait ) {
  .contenido {
   width:100%; 
   margin:auto;
   max-width: unset;
   text-align: center;
  }
  }
  </style>
  <link rel=""preconnect"" href=""https://fonts.googleapis.com"">
  <link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin>
  <link href=""https://fonts.googleapis.com/css2?family=Maven+Pro:wght@700&display=swap"" rel=""stylesheet""></head>
  <body style=""font-family:Maven Pro, sans-serif;"">
  <div class=""contenido"">
  <div style=""width=100%"">
  <img alt=""head"" width=""100%"" src=""<--BASE-IMG-->/header-mail-registro.png""/>
  </div>
  <div style=""font-weight:400;font-size: 14px;color:#002a87;background-color:#f4f4f4;text-align: center;padding-top: 1em"">
  <table style=""width: 100%"">
  <tr >
  <td class=""enblanco"" ></td>
  <td class=""subrayada"">
  Inicio
  </td>
  <td class=""enblanco"" ></td>
  <td class=""subrayada"">
  Ya lleg&oacute; mi giro
  </td>
  <td class=""enblanco"" ></td>
  <td class=""subrayada"">
  Rastreo de giros
  </td>
  <td class=""enblanco"" ></td>
  <td class=""subrayada"">
  App M&oacute;vil
  </td>
  <td class=""enblanco"" ></td>
  <td class=""subrayada"">
  Convenios
  </td>
  <td class=""enblanco"" ></td>
  </tr>
  </table>
  </div>
  <div style=""margin-top:40px"">
  <span style=""color:#002a85;text-align:center;font-size:28px"">¡Recupera tu contraseña!
  </span>
  </div>
  <div style=""width: 100%;text-align: -webkit-center"">
   <div style=""width: 15%;border-bottom: #00beff solid 4px;padding-top: 0.5em""></div>
  </div>
  <div style=""text-align:center; width: 60%;max-width:300px;margin:auto;padding: 2em 0 20px;font-weight: 400;font-size: 17px;color: #002a87"" >
   Confirma el cambio de tu contrase&ntilde;a digitando el siguiente c&oacute;digo:
  </div>
  <div style=""text-align:center; vertical-align:middle;width: 100%;height:7em;margin:auto;background-color:#00ffc6;"">
   <p style=""font-family:'Maven Pro', sans-serif;font-weight:700;font-size:50px;color:#002a87;padding-top: 0.5em""><--CODIGO--></p>
  </div>
  <div style=""text-align:center; width: 100%;height:4em;margin:auto;padding: 2em 0 2em"">
   <img width=""15%"" src=""<--BASE-IMG-->/security-icon.png"" style=""max-width: 100px""/>
  </div>
  <div style=""text-align:center; width: 100%;height:2em;margin:auto;padding: 1em 0 1em;font-weight: 400;font-size: 17;color: #002a87"">
  <span >Este es un procedimiento 100% seguro</span>
  </div>
  <div style=""background-color:#e6e6e7;color:gray;width: 100%;height:2em;margin:auto;padding: 1em 0 1em;font-size: 10px"">
   <div style=""width:33%;text-align: center;display:inline-block"">
   L&iacute;nea nacional gratuita:<br/>
   01 8000 413 767
   </div>
   <div style=""width:33%;text-align: center;display:inline-block;vertical-align: super;border-left: gray solid 1px;border-right: gray solid 1px"">
   www.supergiros.com.co
   </div>
   <div style=""width: 5%;display:inline-block;""></div>
   <div style=""text-align: center;display:inline-block;margin: auto;width: 20%;text-align-last: justify"">
    <img src=""<--BASE-IMG-->/fb-icon.png"" style=""max-width:20px"">
    <img src=""<--BASE-IMG-->/ig-icon.png"" style=""max-width:20px"">
    <img src=""<--BASE-IMG-->/tw-icon.png"" style=""max-width:20px"">
   </div>
  </div>
  
  <div style=""background-color: #f4f4f5;text-align: center"">
  <img src=""<--BASE-IMG-->/sg-logo.png"" style=""width:25%;max-width:400px;padding: 15px"">
  </div>
  
  
  </div>
  </body>
  </html>";Mensaje email recuperacion de contraseña                ;false;6
33;REC_CONTRASENA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Tipo Mensaje SMS recuperacion de conraseña              ;false;6
34;Su usuario y/o contraseña son incorrectos, por favor intenta nuevamente.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;Mensaje clave incorrecta                                ;false;6
35;https://www.supergiros.com.co/publicaciones/129465/politica-tratamiento-de-datos/;URL pagina de terminos y condiciones                    ;false;1
36;http://localhost:8080/content/images/;URL de imagenes                                         ;false;1
37;Su usuario y/o contraseña son incorrectos, por favor intenta nuevamente. Quedan <--INTENTOS--> intentos  para realizar inicio de sesión antes de que el sistema sea bloqueado;mensaje clave login errada                              ;false;1
38;Por favor ingrese su número de identificación sin  puntos, ni comas;tooltip Campo Identificacion en pantalla login          ;false;1
39;3;ID Rol Usuario Publico;false;1
40;Consulta las oficinas de pago <a href='www.supergiros.com.co'>AQUI</a>;"Mensaje cuando estado giro sea ""disponible""";false;1
41;Para cualquier inquietud, comunicate con nuestra linea de atencion nacional 01 8000 413 767 , en los hoarios de lunes a sábado de 7am a 9pm. Domingos y festivos de 8am a 8pm;Mensaje cuando estado de giro sea diferente a disponible;false;1
42;SUPERGIROS: Actualizacion de datos exitosa;Asunto Email Actualizacion datos exitosa;false;6
43;"<!doctype html>
  <html>
  <head>
  <style>
  td.subrayada {
  padding-bottom:1em;
  border-bottom: #00beff solid 2px;
  }
  td.enblanco {
  min-width: 0.8em
  }
  .contenido {
  width:100%; 
  margin:auto;
  max-width: 500px;
  text-align: center;
  }
  @media only screen and (max-device-width: 600px) and (orientation: portrait ), screen and (max-width: 600px) and (orientation: portrait ) {
  .contenido {
   width:100%; 
   margin:auto;
   max-width: unset;
   text-align: center;
  }
  }
  </style>
  <link rel=""preconnect"" href=""https://fonts.googleapis.com"">
  <link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin>
  <link href=""https://fonts.googleapis.com/css2?family=Maven+Pro:wght@700&display=swap"" rel=""stylesheet""></head>
  <body style=""font-family:Maven Pro, sans-serif;"">
  <div class=""contenido"" >
  <div style=""width:30%;max-width:300px;float: right"">
    <img src=""<--BASE-IMG-->/vigilado.png"" style=""width:100%"" />
  </div>
  <div style=""width:100%;float: left;"">
   <img alt=""head"" width=""60%"" src=""<--BASE-IMG-->/sg-logo.png"" style=""padding: 2em""/>
  </div>
  <div style=""font-weight:400;font-size: 14px;color:#002a87;background-color:#f4f4f4;text-align: center;padding-top: 1em"">
  <table style=""width: 100%"">
  <tr >
  <td class=""enblanco"" ></td>
  <td class=""subrayada"">
  Inicio
  </td>
  <td class=""enblanco"" ></td>
  <td class=""subrayada"">
  Ya lleg&oacute; mi giro
  </td>
  <td class=""enblanco"" ></td>
  <td class=""subrayada"">
  Rastreo de giros
  </td>
  <td class=""enblanco"" ></td>
  <td class=""subrayada"">
  App M&oacute;vil
  </td>
  <td class=""enblanco"" ></td>
  <td class=""subrayada"">
  Convenios
  </td>
  <td class=""enblanco"" ></td>
  </tr>
  </table>
  </div>
  
  <div>
  <div style=""width:40%;text-align: center;display:inline-block"">
  <img src=""<--BASE-IMG-->/happy-man-jumping.png"" style=""width: 100%"" />
  </div>
  <div style=""width:55%;text-align: center;display:inline-block;vertical-align: top"">
   <div style=""width: 100%;text-align: center;padding-top: 2em"">
   <img src=""<--BASE-IMG-->/check-icon.png""  style=""width: 20%;"" />
   </div>
   <div style=""width: 100%;text-align: center;padding-top: 0.5em;font-size:28px;font-weight:900;color: #002a87"">
   
¡Actualizaci&oacute;n Exitosa!
   </div>
   <div style=""width: 100%;text-align: -webkit-center"">
    <div style=""width: 15%;border-bottom: #00beff solid 4px;padding-top: 0.5em""></div>
   </div>
   <div style=""width: 100%;text-align: center;font-size:17px;font-weight:400;color: #002a87;padding-top: 2em"">
   SuperGIROS te informa la actualización exitosa  de tus datos en Rastreo De Giros. Ingresa a (pendiente enlace) y consulta el estado de tu giro. 
<p>Por favor no responder a este correo, ha sido enviado desde una cuenta automática.</p>
   </div>
  </div>
  </div>
  <div style=""background-color:#e6e6e7;color:gray;width: 100%;height:2em;margin:auto;padding: 1em 0 1em;font-size: 10px"">
   <div style=""width:33%;text-align: center;display:inline-block"">
   L&iacute;nea nacional gratuita:<br/>
   01 8000 413 767
   </div>
   <div style=""width:33%;text-align: center;display:inline-block;vertical-align: super;border-left: gray solid 1px;border-right: gray solid 1px"">
   www.supergiros.com.co
   </div>
   <div style=""width: 5%;display:inline-block;""></div>
   <div style=""text-align: center;display:inline-block;margin: auto;width: 20%;text-align-last: justify"">
    <img src=""<--BASE-IMG-->/fb-icon.png"" style=""max-width:20px"">
    <img src=""<--BASE-IMG-->/ig-icon.png"" style=""max-width:20px"">
    <img src=""<--BASE-IMG-->/tw-icon.png"" style=""max-width:20px"">
   </div>
  </div>
  
  <div style=""background-color: #f4f4f5;text-align: center"">
  <img src=""<--BASE-IMG-->/sg-logo.png"" style=""width:25%;max-width:400px;padding: 15px"">
  </div>
  
  
  </div>
  </body>
  </html>";Cuerpo Email Actualizacion datos exitosa;false;6
44;ACT_RGIROS;Tipo Mensaje SMS Actualizacion de datos exitoso                       ;false;6
45;ldap://10.244.10.6:389;URL LDAP;false;7
46;supergiros.super;Domain Name;false;7
