punto_atencion_id;departamento;ciudad;direccion
144;ARAUCA;TAME;CALLE 14 N 15 22
145;ARAUCA;TAME;CALLE 14 N 15 22
146;ARAUCA;TAME;CALLE 14 N 15 22
147;ARAUCA;TAME;CALLE 14 N 15 22
148;ARAUCA;TAME;CALLE 14 N 15 22
149;ARAUCA;TAME;BERTHA ISABEL
150;ARAUCA;TAME;CARRERA 20 N 14 05
151;ARAUCA;TAME;CALLE 9 8 23
152;ARAUCA;TAME;CARRERA 13 NO 6 25
153;ARAUCA;TAME;VEREDA BETOYES
154;ARAUCA;TAME;CARRERA 29 NRO 13 36
155;ARAUCA;TAME;VEREDA COROCITO
156;ARAUCA;TAME;VEREDA PUEBLO NUEVO
157;ARAUCA;TAME;VEREDA PUEBLO NUEVO
158;ARAUCA;TAME;CALLE 15 NRO 16 34
159;ARAUCA;TAME;CALLE 15 16 53
160;ARAUCA;TAME;CALLE 15 16 53
161;ARAUCA;TAME;CALLE 15 16 37
162;ARAUCA;TAME;VEREDA BOCAS DELL
163;ARAUCA;TAME;CLL 19N 18 19
164;ARAUCA;TAME;VEREDA FILIPINAS
165;ARAUCA;TAME;CALLE 12 NO 19 10
166;ARAUCA;TAME;CALLE 15 3 88
167;ARAUCA;TAME;VEREDA MALVINAS
168;ARAUCA;TAME;CLL 14 NRO 24 118 SAN MIGUEL
169;ARAUCA;TAME;VEREDA NAPOLES
170;ARAUCA;TAME;B LOS ALMENDROS
171;ARAUCA;TAME;VEREDA SANTA INES
172;ARAUCA;TAME;PANAMA
173;ARAUCA;TAME;CALLE 15  16 53
174;ARAUCA;TAME;CRA 43A 14 21
175;ARAUCA;TAME;CALLE 15N 20 18
176;ARAUCA;TAME;BARRIO EL CENTRO
177;ARAUCA;TAME;CALLE 14 NO 18 14
178;ARAUCA;TAME;VEREDA CANO LIMON
179;ARAUCA;TAME;CALLE 19 CRA 46 67
180;ARAUCA;TAME;CALLE 12 NRO 12 93
181;ARAUCA;TAME;CALLE 14  2 90
182;ARAUCA;TAME;CALLE 20 NO 23 07 
183;ARAUCA;TAME;CARRERA 15 NO 14 23
184;ARAUCA;TAME;CALLE 19 NO 43 08
185;ARAUCA;TAME;AV PPAL PANAMA
186;ARAUCA;TAME;VEREDA LA ORQUETA
187;ARAUCA;TAME;CALLE 15 NO 15 97
188;ARAUCA;TAME;VDA. LA PUEBLO SECO
189;ARAUCA;TAME;CALLE 14 N 15 22
190;ARAUCA;TAME;VDA PUEBLO NUEVO
191;ARAUCA;TAME;CRA 12 NO 15 59
192;ARAUCA;TAME;VDA CRAVO CHARO
193;ARAUCA;TAME;CALLE 15C 81 38
194;ARAUCA;TAME;CALLE 12 NO 4 02
195;ARAUCA;TAME;VEREDA PUEBLO SECO
196;ARAUCA;TAME;VDA  BRISAS
197;ARAUCA;TAME;KRA 9 CALLE 9 
198;ARAUCA;TAME;CALLE 13 12 23
199;ARAUCA;TAME;CASERIO FLOR AMARILLO
203;ATLÁNTICO;BARRANQUILLA;CRA 2 NO 78 155
200;ARAUCA;TAME;CLL 13 6 43
201;ARAUCA;TAME;VEREDA LA ARABIA
202;ARAUCA;TAME;VIA PRINCIPAL PUERTO JORDAN
204;ATLÁNTICO;BARRANQUILLA;Z3 217CRA 19 N 45D 03
205;ATLÁNTICO;BARRANQUILLA;Z5 032 CRA 14  47 08
206;ATLÁNTICO;BARRANQUILLA;CL34  43 02
207;ATLÁNTICO;BARRANQUILLA;CRA 38 NO 76 11
208;ATLÁNTICO;BARRANQUILLA;CRA 27 NO 61 58
209;ATLÁNTICO;BARRANQUILLA;CLL 47 NO 21 35
210;ATLÁNTICO;BARRANQUILLA;CLL 70C NO 26D 19
211;ATLÁNTICO;BARRANQUILLA;CRA 21B NO 63C 39
212;ATLÁNTICO;BARRANQUILLA;CRA 38 NO 102 15
213;ATLÁNTICO;BARRANQUILLA;CLL 30  40 08
214;ATLÁNTICO;BARRANQUILLA;CRA 40  28-09
215;ATLÁNTICO;BARRANQUILLA;CLL 28 NRO 39 27
216;ATLÁNTICO;BARRANQUILLA;CRA 76 NO 80 05 L1
217;ATLÁNTICO;BARRANQUILLA;CLL 15 17B 03
218;ATLÁNTICO;BARRANQUILLA;CRA 38 NO 70B 117
219;ATLÁNTICO;BARRANQUILLA;CLL 30 # 30-156
220;ATLÁNTICO;BARRANQUILLA;CRA 23 26 05
221;ATLÁNTICO;BARRANQUILLA;CLL 19 # 6-07
222;ATLÁNTICO;BARRANQUILLA;CRA 4 19 07
223;ATLÁNTICO;BARRANQUILLA;CLL 35 38C 04
224;ATLÁNTICO;BARRANQUILLA;CALLE 56 13B 03
225;ATLÁNTICO;BARRANQUILLA;CLL 92 CRA 5 - 06
226;ATLÁNTICO;BARRANQUILLA;CRA 15 N 65 55
227;ATLÁNTICO;BARRANQUILLA;CRA 6 90 19
228;ATLÁNTICO;BARRANQUILLA;Z5 111 KRA 13 99B 06
229;ATLÁNTICO;BARRANQUILLA;CRA 41 G 45 04
230;ATLÁNTICO;BARRANQUILLA;CLL 57 34 08
231;ATLÁNTICO;BARRANQUILLA;CLL19 5C 34
232;ATLÁNTICO;BARRANQUILLA;KR 54 55 127
233;ATLÁNTICO;BARRANQUILLA;CRA 27 NO 86 5
234;ATLÁNTICO;BARRANQUILLA;CL 45 1H 114
235;ATLÁNTICO;BARRANQUILLA;CALLE 34 NRO 39 14
236;ATLÁNTICO;BARRANQUILLA;KR 28 58 148
237;ATLÁNTICO;BARRANQUILLA;CRA 38 NO 50 46
238;ATLÁNTICO;BARRANQUILLA;CALLE 53 50 28
239;ATLÁNTICO;BARRANQUILLA;Z5 027 CLL 56  9M 128
240;ATLÁNTICO;BARRANQUILLA;CLL 106 N 79 15
241;ATLÁNTICO;BARRANQUILLA;KR 10 N 14 04
242;ATLÁNTICO;BARRANQUILLA;CLL 85 NO 78A 30
243;ATLÁNTICO;BARRANQUILLA;CARRERA 1 NO 43 89
244;ATLÁNTICO;BARRANQUILLA;CLL 51B NO 11SUR 03
245;ATLÁNTICO;BARRANQUILLA;CLL 45 NO 7 121
246;ATLÁNTICO;BARRANQUILLA;CALLE 45 NO 23 99
247;ATLÁNTICO;BARRANQUILLA;CRA 21 NO 78 78
248;ATLÁNTICO;BARRANQUILLA;Z5 016 CRA 13 104 77
249;ATLÁNTICO;BARRANQUILLA;Z5 048 CRA 8 97 115
250;ATLÁNTICO;BARRANQUILLA;KR 15 NO 91 03
251;ATLÁNTICO;BARRANQUILLA;CLL 110 N 26B 4
252;ATLÁNTICO;BARRANQUILLA;CALLE 68 NO 21B 03
253;ATLÁNTICO;BARRANQUILLA;KR 38 NO 69D 15
254;ATLÁNTICO;BARRANQUILLA;CLL 17 17B 04
255;ATLÁNTICO;BARRANQUILLA;CLL 30 27 07
256;ATLÁNTICO;BARRANQUILLA;CALLE 30 NO 38 02
257;ATLÁNTICO;BARRANQUILLA;CALLE 72 NO 65 234
258;ATLÁNTICO;BARRANQUILLA;CRA 82 NO 106 64
259;ATLÁNTICO;BARRANQUILLA;CALLE 72 41B 147
260;ATLÁNTICO;BARRANQUILLA;CALLE 45 NO 44 82
261;ATLÁNTICO;BARRANQUILLA;CALLE 1 NO 18 41
262;ATLÁNTICO;BARRANQUILLA;CALLE 78 NO 42 15 
263;ATLÁNTICO;BARRANQUILLA;CALLE 93 N 71 49
264;ATLÁNTICO;BARRANQUILLA;CALLE 63 NO 23 08 
265;ATLÁNTICO;BARRANQUILLA;CALLE 72 CRA 38 ESQUINA
266;ATLÁNTICO;BARRANQUILLA;Z5 172 TRANSV 6 CLL 55B 105
267;ATLÁNTICO;BARRANQUILLA;CL 72 NO 52 79
268;ATLÁNTICO;BARRANQUILLA;CLL 94 N 2B 44
269;ATLÁNTICO;BARRANQUILLA;CLL 56 CRA 9D 47 40
270;ATLÁNTICO;BARRANQUILLA;CRA 21B NO 64 03
271;ATLÁNTICO;BARRANQUILLA;CALLE 70 NO 26D 41
272;ATLÁNTICO;BARRANQUILLA;CALLE 70C NO 18 05
273;ATLÁNTICO;BARRANQUILLA;CALLE 74 NO 38D 113
274;ATLÁNTICO;BARRANQUILLA;CRA 33 NO 71 57
275;ATLÁNTICO;BARRANQUILLA;CALLE 75 NO 26B 27
276;ATLÁNTICO;BARRANQUILLA;CLL 23 N 5 23
277;ATLÁNTICO;BARRANQUILLA;Z6 - CRA 20 N 21 118
278;ATLÁNTICO;BARRANQUILLA;CRA 38 NO 27C 08
279;ATLÁNTICO;BARRANQUILLA;KR 42 NO 79 B 09
280;ATLÁNTICO;BARRANQUILLA;CLL 41 N 04 15
281;ATLÁNTICO;BARRANQUILLA;CRA 4 N 35 05
282;ATLÁNTICO;BARRANQUILLA;Z3 244 CRA 10 N 52C 04
283;ATLÁNTICO;BARRANQUILLA;CALLE 74 NO 38D  113
284;ATLÁNTICO;BARRANQUILLA;CALLE 30 NO 13C  ESQ
285;ATLÁNTICO;BARRANQUILLA;CALLE 59 24 07
286;ATLÁNTICO;BARRANQUILLA;CALLE 76 49C 41 L4
287;ATLÁNTICO;BARRANQUILLA;Z5 173 CRA 13 N 85A 61
288;ATLÁNTICO;BARRANQUILLA;CALLE 53D 18 11
289;ATLÁNTICO;BARRANQUILLA;CALLE 48 5SUR 56
290;ATLÁNTICO;BARRANQUILLA;CRA 46 82 241 L 4
291;ATLÁNTICO;BARRANQUILLA;CALLE 47 N 12SUR  102
292;ATLÁNTICO;BARRANQUILLA;CALLE 45D N 1E  21
293;ATLÁNTICO;BARRANQUILLA;Z3 249 CALLE 45B N 22  144
294;ATLÁNTICO;BARRANQUILLA;CARRERA 16 45G 42
295;ATLÁNTICO;BARRANQUILLA;CARRERA 19 46 06
296;ATLÁNTICO;BARRANQUILLA;CARRERA 42B 84 07
297;ATLÁNTICO;BARRANQUILLA;CALLE 38B NO 3B 24
298;ATLÁNTICO;BARRANQUILLA;CALLE 44 NO 36 36
299;ATLÁNTICO;BARRANQUILLA;CALLE 38 NO 36 126
300;ATLÁNTICO;BARRANQUILLA;CARRERA 46 NO 75 131
301;ATLÁNTICO;BARRANQUILLA;CARRERA 8B 5 235
302;ATLÁNTICO;BARRANQUILLA;CALLE 76 NRO 42 116
303;ATLÁNTICO;BARRANQUILLA;CALLE 28 NO 5 06
304;ATLÁNTICO;BARRANQUILLA;CLL 8 N 27A 20
305;ATLÁNTICO;BARRANQUILLA;CRA 2 41 B 03
306;ATLÁNTICO;BARRANQUILLA;CRA 4  35 A - 21
307;ATLÁNTICO;BARRANQUILLA;CALLE 8B  37C  83
308;ATLÁNTICO;BARRANQUILLA;CARRERA 11  35 70
309;ATLÁNTICO;BARRANQUILLA;CRA 2ASUR N 41D 71
310;ATLÁNTICO;BARRANQUILLA;CALLE 44  20 55
311;ATLÁNTICO;BARRANQUILLA;CALLE 85 N 15 - 63
312;ATLÁNTICO;BARRANQUILLA;CARRERA 13 N 60  02
313;ATLÁNTICO;BARRANQUILLA;DIAGONAL 77D N  21  03
314;ATLÁNTICO;BARRANQUILLA;CARRERA 50 NO 74 29 BARRIO PRADO 
315;ATLÁNTICO;BARRANQUILLA;CALLE 38B NRO 6B 05
316;ATLÁNTICO;BARRANQUILLA;DIAGONAL 77 N 15  07
317;ATLÁNTICO;BARRANQUILLA;CALLE 72A N 8G 67
318;ATLÁNTICO;BARRANQUILLA;CARRERA 24 N 35  04
319;ATLÁNTICO;BARRANQUILLA;CARRERA 6B N 24  04
320;ATLÁNTICO;BARRANQUILLA;CALLE 77 7B 71
321;ATLÁNTICO;BARRANQUILLA;CARRERA 26 70C  03
322;ATLÁNTICO;BARRANQUILLA;CLL 45  9 B - 65
323;ATLÁNTICO;BARRANQUILLA;CARRERA 30 NRO 58 03
324;ATLÁNTICO;BARRANQUILLA;VIA 40 NRO 85 470
325;ATLÁNTICO;BARRANQUILLA;CALLE 30 NRO 50 80
326;ATLÁNTICO;BARRANQUILLA;CALLE 87 N  96  94
327;ATLÁNTICO;BARRANQUILLA;CALLE 80 N 7 75
328;ATLÁNTICO;BARRANQUILLA;CARRERA 2F N 50C  28
329;ATLÁNTICO;BARRANQUILLA;CARRERA 7 N 5B 109
330;ATLÁNTICO;BARRANQUILLA;CALLE 24 N 21  03
331;ATLÁNTICO;BARRANQUILLA;Z3 032 CL 38B 7H 24
332;ATLÁNTICO;BARRANQUILLA;CARRERA 22 N 30  24
333;ATLÁNTICO;BARRANQUILLA;CARRERA 38B N 27C  123
334;ATLÁNTICO;BARRANQUILLA;CARRERA 10 N 27D  70
335;ATLÁNTICO;BARRANQUILLA;CARRERA 47 59 50
336;ATLÁNTICO;BARRANQUILLA;CALLE 21 NRO 30 147
337;ATLÁNTICO;BARRANQUILLA;CARRERA 10 NRO 15 68
338;ATLÁNTICO;BARRANQUILLA;CLL 8 N 27A 20
339;ATLÁNTICO;BARRANQUILLA;Z3 030 KR 8 34 41
340;ATLÁNTICO;BARRANQUILLA;CALLE 80 NRO 70 08
341;ATLÁNTICO;BARRANQUILLA;CALLE 79 NRO 73 09
342;ATLÁNTICO;BARRANQUILLA;CARRERA 14 48 05
343;ATLÁNTICO;BARRANQUILLA;CARRERA 38 69D 139
344;ATLÁNTICO;BARRANQUILLA;CRA 21B 64B 27
345;ATLÁNTICO;BARRANQUILLA;Z5 CLL 83C N 26D 29
346;ATLÁNTICO;BARRANQUILLA;Z3 029 KR 10 35B 35 L2
347;ATLÁNTICO;BARRANQUILLA;Z4 CLL 75 N 22D 39
348;ATLÁNTICO;BARRANQUILLA;CRA 27 N 53C 72
349;ATLÁNTICO;BARRANQUILLA;CARRERA 31 N 116  100
350;ATLÁNTICO;BARRANQUILLA;CARRERA 38 N 71  108
351;ATLÁNTICO;BARRANQUILLA;Z3  CRA 9D N 34A 26
352;ATLÁNTICO;BARRANQUILLA;CRA 8B N 36B 4
353;ATLÁNTICO;BARRANQUILLA;CLL 45  27 03
354;ATLÁNTICO;BARRANQUILLA;Z3 - CRA 6B N 34C 23
355;ATLÁNTICO;BARRANQUILLA;CALLE 45 NO 26 129
356;ATLÁNTICO;BARRANQUILLA;CALLE 30 NO 7C 223
357;ATLÁNTICO;BARRANQUILLA;CARRERA 28 NO 58 148
358;ATLÁNTICO;BARRANQUILLA;CARRERA 13 NO 107 55
359;ATLÁNTICO;BARRANQUILLA;CLL 45 14 10
360;ATLÁNTICO;BARRANQUILLA;CALLE 106 NO 90 05
361;ATLÁNTICO;BARRANQUILLA;Z3 CRA 2 N 50A 03
362;ATLÁNTICO;BARRANQUILLA;CRA 43 32 56
363;ATLÁNTICO;BARRANQUILLA;CRA 43 32 56
364;ATLÁNTICO;BARRANQUILLA;CLL 45  19 - 133
365;ATLÁNTICO;BARRANQUILLA;CARRERA 34 CALLE 5TA
366;ATLÁNTICO;BARRANQUILLA;CALLE 110 NRO 27 20
367;ATLÁNTICO;BARRANQUILLA;CALLE 47 NRO 18 141
368;ATLÁNTICO;BARRANQUILLA;CALLE 51 10C 22
369;ATLÁNTICO;BARRANQUILLA;CALLE 49 NRO 4SUR 04
370;ATLÁNTICO;BARRANQUILLA;CALLE 36B 7G 05
371;ATLÁNTICO;BARRANQUILLA;CALLE 70 N 43 88
372;ATLÁNTICO;BARRANQUILLA;CARRERA 43 NRO 47 06
373;ATLÁNTICO;BARRANQUILLA;CALLE 84 N 50 17 LC1
374;ATLÁNTICO;BARRANQUILLA;CRA 51B NO 94 160
375;ATLÁNTICO;BARRANQUILLA;CALLE 76 43 15
376;ATLÁNTICO;BARRANQUILLA;CRA 76 NO 82 B 21
377;ATLÁNTICO;BARRANQUILLA;CRA 44 NO 90 09
378;ATLÁNTICO;BARRANQUILLA;Z4- CRA 25 N 123A 50
379;ATLÁNTICO;BARRANQUILLA;Z4 CRA 25 N 105 04
380;ATLÁNTICO;BARRANQUILLA;CRA 20 N 68 25
381;ATLÁNTICO;BARRANQUILLA;CALLE 70 NO 52 54 L 140
382;ATLÁNTICO;BARRANQUILLA;Z2 CALLE 38 N 36 65
383;ATLÁNTICO;BARRANQUILLA;CLL 30 N 20 189
384;ATLÁNTICO;BARRANQUILLA;CARRERA 27 N 72 117
385;ATLÁNTICO;BARRANQUILLA;CRA 8B NO 40 63
386;ATLÁNTICO;BARRANQUILLA;CRA 7C N 46 91
387;ATLÁNTICO;BARRANQUILLA;Z3 CRA 7C N 38B 59
388;ATLÁNTICO;BARRANQUILLA;CALLE 80 NO 68 13
389;ATLÁNTICO;BARRANQUILLA;CLL 51 N 9 29
390;ATLÁNTICO;BARRANQUILLA;CL 47 1 B NO 1 11
391;ATLÁNTICO;BARRANQUILLA;CRA 9 SUR NO 46 105
392;ATLÁNTICO;BARRANQUILLA;Z3 CRA 42 N 45 19
393;ATLÁNTICO;BARRANQUILLA;Z4  CRA 12 N  116B 28
394;ATLÁNTICO;BARRANQUILLA;Z1  CRA 43 N 48 13
395;ATLÁNTICO;BARRANQUILLA;CALLE 82 NO 57 89
396;ATLÁNTICO;BARRANQUILLA;CRA 12 SUR N 46D 11
397;ATLÁNTICO;BARRANQUILLA;CRA 96 N 131 30
398;ATLÁNTICO;BARRANQUILLA;CRA 29  50 02
399;ATLÁNTICO;BARRANQUILLA;Z5 CRA 13 N 73B 09
400;ATLÁNTICO;BARRANQUILLA;Z5 CLL 91 N 6E 270
401;ATLÁNTICO;BARRANQUILLA;CARRERA 42B1 NO 87 70
402;ATLÁNTICO;BARRANQUILLA;Z5 CRA 8 N 88 79
403;ATLÁNTICO;BARRANQUILLA;Z5 CRA 4A N 54 05
404;ATLÁNTICO;BARRANQUILLA;CRA 6H N 91 40
405;ATLÁNTICO;BARRANQUILLA;Z5 CLL 64B N 15 125
406;ATLÁNTICO;BARRANQUILLA;Z5 CLL 60 N 10 143
407;ATLÁNTICO;BARRANQUILLA;Z5 CLL 88 N 3C 3
408;ATLÁNTICO;BARRANQUILLA;Z5 CLL 90B N 4 SUR 70
409;ATLÁNTICO;BARRANQUILLA;Z5 DIAG 88 N TRANS 3A 04
410;ATLÁNTICO;BARRANQUILLA;Z6 CRA 50 N 17 42
411;ATLÁNTICO;BARRANQUILLA;Z6 CLL 17 N 12C 08
412;ATLÁNTICO;BARRANQUILLA;Z3 241 CRA 4 N 49E 33
413;ATLÁNTICO;BARRANQUILLA;Z6 CRA 19 N 27B 03
414;ATLÁNTICO;BARRANQUILLA;Z6 CLL 27 N 24 02
415;ATLÁNTICO;BARRANQUILLA;Z6 CLL 27A N 16 10
416;ATLÁNTICO;BARRANQUILLA;Z6 CLL 19 N 3B 06
417;ATLÁNTICO;BARRANQUILLA;CLL 44 N 1H 03
418;ATLÁNTICO;BARRANQUILLA;CALLE 37 NRO 41 102
419;ATLÁNTICO;BARRANQUILLA;Z4 CRA 14 N 111B 42
420;ATLÁNTICO;BARRANQUILLA;Z3 CLL 47B 27 06
