punto_atencion_id;departamento;ciudad;direccion
144;ARAUCA;TAME;CALLE 14 N 15 22
145;ARAUCA;TAME;CALLE 14 N 15 22
146;ARAUCA;TAME;CALLE 14 N 15 22
147;ARAUCA;TAME;CALLE 14 N 15 22
148;ARAUCA;TAME;CALLE 14 N 15 22
149;ARAUCA;TAME;BERTHA ISABEL
150;ARAUCA;TAME;CARRERA 20 N 14 05
151;ARAUCA;TAME;CALLE 9 8 23
152;ARAUCA;TAME;CARRERA 13 NO 6 25
153;ARAUCA;TAME;VEREDA BETOYES
154;ARAUCA;TAME;CARRERA 29 NRO 13 36
155;ARAUCA;TAME;VEREDA COROCITO
156;ARAUCA;TAME;VEREDA PUEBLO NUEVO
157;ARAUCA;TAME;VEREDA PUEBLO NUEVO
158;ARAUCA;TAME;CALLE 15 NRO 16 34
159;ARAUCA;TAME;CALLE 15 16 53
160;ARAUCA;TAME;CALLE 15 16 53
161;ARAUCA;TAME;CALLE 15 16 37
162;ARAUCA;TAME;VEREDA BOCAS DELL
163;ARAUCA;TAME;CLL 19N 18 19
164;ARAUCA;TAME;VEREDA FILIPINAS
165;ARAUCA;TAME;CALLE 12 NO 19 10
166;ARAUCA;TAME;CALLE 15 3 88
167;ARAUCA;TAME;VEREDA MALVINAS
168;ARAUCA;TAME;CLL 14 NRO 24 118 SAN MIGUEL
169;ARAUCA;TAME;VEREDA NAPOLES
170;ARAUCA;TAME;B LOS ALMENDROS
171;ARAUCA;TAME;VEREDA SANTA INES
172;ARAUCA;TAME;PANAMA
173;ARAUCA;TAME;CALLE 15  16 53
174;ARAUCA;TAME;CRA 43A 14 21
175;ARAUCA;TAME;CALLE 15N 20 18
176;ARAUCA;TAME;BARRIO EL CENTRO
177;ARAUCA;TAME;CALLE 14 NO 18 14
178;ARAUCA;TAME;VEREDA CANO LIMON
179;ARAUCA;TAME;CALLE 19 CRA 46 67
180;ARAUCA;TAME;CALLE 12 NRO 12 93
181;ARAUCA;TAME;CALLE 14  2 90
182;ARAUCA;TAME;CALLE 20 NO 23 07 
183;ARAUCA;TAME;CARRERA 15 NO 14 23
184;ARAUCA;TAME;CALLE 19 NO 43 08
185;ARAUCA;TAME;AV PPAL PANAMA
186;ARAUCA;TAME;VEREDA LA ORQUETA
187;ARAUCA;TAME;CALLE 15 NO 15 97
188;ARAUCA;TAME;VDA. LA PUEBLO SECO
189;ARAUCA;TAME;CALLE 14 N 15 22
190;ARAUCA;TAME;VDA PUEBLO NUEVO
191;ARAUCA;TAME;CRA 12 NO 15 59
192;ARAUCA;TAME;VDA CRAVO CHARO
193;ARAUCA;TAME;CALLE 15C 81 38
194;ARAUCA;TAME;CALLE 12 NO 4 02
195;ARAUCA;TAME;VEREDA PUEBLO SECO
196;ARAUCA;TAME;VDA  BRISAS
197;ARAUCA;TAME;KRA 9 CALLE 9 
198;ARAUCA;TAME;CALLE 13 12 23
199;ARAUCA;TAME;CASERIO FLOR AMARILLO
200;ARAUCA;TAME;CLL 13 6 43
201;ARAUCA;TAME;VEREDA LA ARABIA
202;ARAUCA;TAME;VIA PRINCIPAL PUERTO JORDAN
